point_id,nuts2,geometry,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20020101_20021231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20000101_20001231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20080101_20081231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20060101_20061231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20030101_20031231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20010101_20011231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20040101_20041231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20050101_20051231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20110101_20111231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20140101_20141231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20100101_20101231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20090101_20091231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20000101_20001231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20010101_20011231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20130101_20131231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20160101_20161231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20070101_20071231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20020101_20021231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20120101_20121231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20050101_20051231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20190101_20191231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20220101_20221231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20040101_20041231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20030101_20031231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20170101_20171231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20150101_20151231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20060101_20061231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20210101_20211231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20070101_20071231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20120101_20121231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20200101_20201231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20110101_20111231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20080101_20081231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20160101_20161231_eu_epsg.3035_v20231127,ndvi_glad.landast.ard2.seasconv.m.yearly_p50_30m_s_20180101_20181231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20090101_20091231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20100101_20101231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20140101_20141231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20130101_20131231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20150101_20151231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20170101_20171231_eu_epsg.3035_v20231127,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20000101_20001231_eu_epsg.3035_v20231218,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20210101_20211231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20190101_20191231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20220101_20221231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20180101_20181231_eu_epsg.3035_v20231127,bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_20200101_20201231_eu_epsg.3035_v20231127,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20010101_20011231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20020101_20021231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20030101_20031231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20050101_20051231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20040101_20041231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20060101_20061231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20090101_20091231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20080101_20081231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20100101_20101231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20070101_20071231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20120101_20121231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20130101_20131231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20110101_20111231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20150101_20151231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20160101_20161231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20140101_20141231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20180101_20181231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20170101_20171231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20200101_20201231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20190101_20191231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20220101_20221231_eu_epsg.3035_v20231218,ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_p50_30m_s_20210101_20211231_eu_epsg.3035_v20231218,nos_glad.landsat.ard2.seasconv_m_30m_s_20000101_20001231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20010101_20011231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20020101_20021231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20060101_20061231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20050101_20051231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20040101_20041231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20070101_20071231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20030101_20031231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20090101_20091231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20080101_20081231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20140101_20141231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20100101_20101231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20120101_20121231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20130101_20131231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20110101_20111231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20180101_20181231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20170101_20171231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20160101_20161231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20200101_20201231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20190101_20191231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20150101_20151231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20220101_20221231_eu_epsg.3035_v20231127,nos_glad.landsat.ard2.seasconv_m_30m_s_20210101_20211231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20000101_20001231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20020101_20021231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20010101_20011231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20030101_20031231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20060101_20061231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20040101_20041231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20070101_20071231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20180101_20181231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20080101_20081231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20110101_20111231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20090101_20091231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20130101_20131231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20160101_20161231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20140101_20141231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20050101_20051231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20120101_20121231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20100101_20101231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20170101_20171231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20150101_20151231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20190101_20191231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20200101_20201231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20220101_20221231_eu_epsg.3035_v20231127,cdr_glad.landsat.seasconv_m_30m_s_20210101_20211231_eu_epsg.3035_v20231127
49923058,PL21,POINT (4991999.269628691 3058006.326953902),160.0,155.0,193.0,186.0,163.0,156.0,166.0,179.0,196.0,201.0,196.0,190.0,83.0,83.0,202.0,199.0,189.0,83.0,199.0,16.0,208.0,217.0,50.0,50.0,207.0,203.0,16.0,217.0,16.0,16.0,209.0,16.0,16.0,0.0,206.0,16.0,16.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,123.0,117.0,123.0,149.0,131.0,144.0,140.0,141.0,149.0,149.0,153.0,156.0,153.0,153.0,147.0,154.0,148.0,153.0,149.0,147.0,164.0,156.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,66.0,83.0,0.0,66.0,83.0,83.0,83.0,0.0,100.0,83.0,83.0,83.0,100.0,100.0,100.0,0.0,100.0,0.0
42122470,ITC4,POINT (4212012.562523705 2470038.46923975),189.0,180.0,187.0,190.0,191.0,184.0,187.0,187.0,185.0,188.0,191.0,188.0,0.0,0.0,185.0,185.0,187.0,0.0,189.0,0.0,191.0,188.0,0.0,0.0,184.0,185.0,0.0,191.0,16.0,0.0,186.0,0.0,16.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,33.0,0.0,0.0,0.0,16.0,141.0,147.0,149.0,142.0,146.0,144.0,143.0,142.0,146.0,146.0,142.0,147.0,147.0,138.0,141.0,143.0,135.0,136.0,136.0,140.0,139.0,140.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,100.0,100.0,100.0,83.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,83.0,83.0,83.0,66.0
38363000,FRE2,POINT (3836002.899010188 2999997.977501977),182.0,174.0,180.0,201.0,179.0,176.0,183.0,182.0,186.0,173.0,178.0,198.0,50.0,33.0,189.0,197.0,188.0,50.0,182.0,33.0,196.0,203.0,33.0,16.0,197.0,198.0,16.0,208.0,33.0,16.0,188.0,16.0,33.0,0.0,207.0,33.0,33.0,16.0,16.0,33.0,33.0,129.0,0.0,33.0,16.0,16.0,16.0,132.0,139.0,136.0,137.0,139.0,161.0,157.0,132.0,137.0,142.0,136.0,145.0,143.0,157.0,150.0,135.0,158.0,152.0,142.0,153.0,151.0,167.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,50.0,50.0,66.0,83.0,50.0,0.0,83.0,50.0,66.0,66.0,83.0,83.0,50.0,50.0,66.0,66.0,66.0,66.0,66.0,66.0,83.0,100.0
